model,channel,gap_nm,gain_fixed,gain_optimized,shift_over_gamma0,width_over_gamma0,threshold_uJ_cm2,threshold_status,weak_pulse_population_gain,delta_spectrum,delta_threshold
dd,axis_long,0.5,0.14229180786821166,0.14229180786821166,0.012180061364848378,1.0064555043513226,,right_censored,0.1434306865048538,0.8856778877721881,
dd,axis_long,0.75,0.15740460735673104,0.15740460735673104,0.011404912298625842,1.005851579204589,,right_censored,0.15848643743997898,0.8282085577312173,
dd,axis_long,1.0,0.1739806049123766,0.1739806049123766,0.01061519516841744,1.0052939640241327,,right_censored,0.17501313195346524,0.7430487483227305,
dd,axis_long,1.5,0.21011917941040745,0.21011917941040745,0.009107774390639894,1.0043021592764585,,right_censored,0.21106544512651257,0.43040115283452196,
dd,axis_long,2.0,0.24846898816706162,0.24846898816706162,0.007780411290255162,1.0034934034896996,,right_censored,0.2493359648722967,0.330222399851302,
dd,axis_long,3.0,0.32621024511552654,0.32621024511552654,0.005709538906801572,1.0024332440923072,190.07292108255325,resolved_refined,0.32692559960150447,2.232415690312357,
dd,axis_long,5.0,0.46757373612723785,0.46757373612723785,0.0032481214239308913,1.0012576246761957,132.1671912420796,resolved_refined,0.46802382914139623,0.9897282176029166,
dd,axis_long,7.0,0.5804168963848748,0.5804168963848748,0.001992052605110329,1.000695138083921,106.34735503827183,resolved_refined,0.5806779914546238,0.4016937765229311,0.2861467556731259
dd,axis_long,10.0,0.7021191541521588,0.7021191541521588,0.0010731402870365135,1.000315697559735,87.8638941561473,resolved_refined,0.7022193927088375,0.15264089495669506,0.13214196074853307
dd,axis_long,12.0,0.7596684477353575,0.7596684477353575,0.0007549240161410447,1.000197315576294,81.19690277409843,resolved_refined,0.7597132887387877,0.09161611213038995,0.08375962147104188
dd,axis_trans,0.5,0.8170835136165431,0.8170835136165431,-0.0006706971824838242,1.000099836487336,75.45862854251307,resolved_refined,0.8173085926232668,0.6373198360832153,0.3773197251480603
dd,axis_trans,0.75,0.8255114719795836,0.8255114719795836,-0.0006104206375328264,1.000090254604809,74.68968055012738,resolved_refined,0.8257232251215717,0.5169040557960567,0.3323995893365905
dd,axis_trans,1.0,0.8334433966544897,0.8334433966544897,-0.0005565391772230771,1.0000817266647202,73.98014387735232,resolved_refined,0.8336428471680466,0.428656043627824,0.29405062103363516
dd,axis_trans,1.5,0.8479548529100498,0.8479548529100498,-0.00046497713431642765,1.0000673273621743,72.71628050062985,resolved_refined,0.848132398950278,0.3090284989259146,0.23280401213807053
dd,axis_trans,2.0,0.8608636303496112,0.8608636303496112,-0.00039099101391453883,1.000055792964285,71.62768264579032,resolved_refined,0.8610223619972279,0.23278332550004693,0.18690811165833188
dd,axis_trans,3.0,0.8826793823336574,0.8826793823336574,-0.0002814732314674704,1.0000389369647078,69.86007394918329,resolved_refined,0.8828077921594685,0.14365733276556833,0.124831249775293
dd,axis_trans,5.0,0.914477321385088,0.914477321385088,-0.00015546319089027158,1.0000200488270536,67.43417321122736,resolved_refined,0.9145649797534989,0.06643252596986202,0.06209388344635878
dd,axis_trans,7.0,0.9358351438831592,0.9358351438831592,-9.229604798469659e-05,1.0000109710627652,65.89697704367775,resolved_refined,0.9358978271748497,0.0355752208880726,0.034280293073093236
dd,axis_trans,10.0,0.9564074554088642,0.9564074554088642,-4.712432099002673e-05,1.0000048513787103,64.48099268056984,resolved_refined,0.9564479750397666,0.016353312100403597,0.016067058053366112
dd,axis_trans,12.0,0.9654718643698114,0.9654718643698114,-3.1971527020525225e-05,1.0000029489266349,63.87617300403254,resolved_refined,0.9655032244030913,0.01046446522980823,0.010343508981874307
dd,side_long,0.5,14.457312098839521,16.41879607478254,0.21240722570369125,1.1475395796444967,3.1678186684695535,resolved_refined,18.820946570411188,3.929389096036239,0.8029381483246799
dd,side_long,0.75,13.401989888540594,14.64432657028901,0.1717615446054653,1.120130364511682,3.663450555521824,resolved_refined,16.392584649758536,3.4619813437114133,0.7820592118808615
dd,side_long,1.0,12.27547266592306,13.06337703614627,0.13984507247304637,1.0973962268084037,4.214233851923606,resolved_refined,14.334550465779236,3.06585678079081,0.7602661281994854
dd,side_long,1.5,10.112071082439897,10.414700759031026,0.09435070852949902,1.067397647349257,5.481096351705636,resolved_refined,11.117117617634205,2.4326659026956086,0.7143557169852679
dd,side_long,2.0,8.285097659895703,8.409106936913899,0.06508078286653757,1.046340872461973,6.961532640292153,resolved_refined,8.801807283371705,1.9539316746285575,0.6662222183135105
dd,side_long,3.0,5.7146809584676586,5.7370371138952905,0.0326213549532091,1.0236683440067524,10.487513971636279,resolved_refined,5.875927358488038,1.2981356570230331,0.5677419636794573
dd,side_long,5.0,3.2351453003721655,3.2351453003721655,0.009490088609621715,1.0077546385286587,18.939475068257046,resolved_refined,3.2621447001197392,0.6296808287848953,0.38707232520130785
dd,side_long,7.0,2.2341723803529714,2.2341723803529714,0.0031054774142896782,1.0028771835454682,27.555564681751097,resolved_refined,2.2415121007666174,0.33583349556027275,0.25143321673315205
dd,side_long,10.0,1.6138300459291046,1.6138300459291046,0.0005691634824354666,1.000833965020493,38.20323998119643,resolved_refined,1.6156131024382856,0.14808092810280912,0.12889256020765402
dd,side_long,12.0,1.4196458971102022,1.4196458971102022,0.00011584790945786946,1.0004090752887913,43.43736246442223,resolved_refined,1.4205188096652615,0.09123401957771873,0.0835427007742272
dd,side_trans_radial,0.5,6.462994618338134,7.754154772984882,-0.23191488228951226,1.0384215518553779,7.573508926525995,resolved_refined,8.02948226691759,2.0841194839821098,0.6256143177688152
dd,side_trans_radial,0.75,6.0642909472788835,6.871093193996711,-0.18785612594317744,1.0312116475931292,8.626862826528098,resolved_refined,7.067501886451515,1.748611314811103,0.5921517158775383
dd,side_trans_radial,1.0,5.624048301297305,6.127535827780562,-0.15321043167044462,1.025569282167077,9.744446965327032,resolved_refined,6.269938470214155,1.4923002873599533,0.559869653295787
dd,side_trans_radial,1.5,4.769151949876564,4.967392345348558,-0.10397360002144297,1.017598367281584,12.143260234432365,resolved_refined,5.046419575606496,1.1254712214404328,0.4986347127787078
dd,side_trans_radial,2.0,4.047985407056219,4.130557856204489,-0.07217557827160677,1.0121813189968771,14.70743493977328,resolved_refined,4.174706102278865,0.8753015428068772,0.4419070438650682
dd,side_trans_radial,3.0,3.0325372065903187,3.0490046270728426,-0.03691092236709923,1.0062664394194718,20.076428722859422,resolved_refined,3.0648911766891187,0.5601081976716269,0.342776003392498
dd,side_trans_radial,5.0,2.0260001522014823,2.0260001522014823,-0.01157540371335747,1.0024099227414967,30.358781910036353,resolved_refined,2.029952052344805,0.2618083001464755,0.20057118828863937
dd,side_trans_radial,7.0,1.594179470718448,1.594179470718448,-0.004348687156890511,1.0008082616215566,38.65646978349901,resolved_refined,1.594916912519583,0.13629496930818416,0.11696579570475218
dd,side_trans_radial,10.0,1.308916668436523,1.308916668436523,-0.0012598110355677618,1.0002355010611892,47.111223903947405,resolved_refined,1.308940283583861,0.05837489398062873,0.054244602554576096
dd,side_trans_radial,12.0,1.2149962464413293,1.2149962464413293,-0.0006136272151530367,1.0001182887017968,50.75821584963847,resolved_refined,1.2149464242299932,0.03540751198928238,0.0337566619463172
dd,side_trans_tangential,0.5,0.009097860819068684,0.009211997903237368,-0.05880166014147113,1.0102684503394963,,right_censored,0.009588808504243969,0.941945635649374,
dd,side_trans_tangential,0.75,0.026866710462263223,0.027112616254077855,-0.04942384455976925,1.00816075656234,,right_censored,0.027696942678094656,0.86441879243792,
dd,side_trans_tangential,1.0,0.0568832077652752,0.057248865971784,-0.040239910012569644,1.0064250162077653,,right_censored,0.05801992534194154,0.7629149088150281,
dd,side_trans_tangential,1.5,0.13602552772405324,0.13636997068906323,-0.027223162214284308,1.0046382057315801,,right_censored,0.13746165872127614,0.575307730012709,
dd,side_trans_tangential,2.0,0.223412469620938,0.223421750278325,-0.0188715898304636,1.0043365955380426,,right_censored,0.22484737673381902,0.43288808745854823,
dd,side_trans_tangential,3.0,0.3865974708314402,0.3865974708314402,-0.009677468751226612,1.001787347387946,159.0677592986742,resolved_refined,0.3877360177690521,0.2541586252610042,0.34113031831113577
dd,side_trans_tangential,5.0,0.6189378572993153,0.6189378572993153,-0.0031270324722826935,1.0005106848076317,99.54443976273919,resolved_refined,0.6195409739533109,0.10196882519346993,0.11353194889719376
dd,side_trans_tangential,7.0,0.7537582143840743,0.7537582143840743,-0.0012284490677375308,1.0001900756616977,81.78417069667833,resolved_refined,0.7540912812971096,0.04756551525249491,0.04991602748277285
dd,side_trans_tangential,10.0,0.8608636303496112,0.8608636303496112,-0.00039099101391453883,1.000055792964285,71.62768264579032,resolved_refined,0.8610223619972279,0.018296450063466543,0.018625186248506943
dd,side_trans_tangential,12.0,0.900224150612185,0.900224150612185,-0.00020712357913213805,1.0000277028887001,68.50044959815737,resolved_refined,0.9003295603296451,0.010585778504777064,0.010691686945219055
fqs,axis_long,0.5,0.6482623567324797,0.8830974511061804,-0.42558006084958694,1.425562261183764,49.22923544170759,resolved_refined,1.2496607254691103,0.8856778877721881,
fqs,axis_long,0.75,0.5916867593280527,0.7170656357291193,-0.3031766733455336,1.325279753839796,66.12503590950504,resolved_refined,0.946673304862355,0.8282085577312173,
fqs,axis_long,1.0,0.5008328371350883,0.5639109194958336,-0.22128791460609537,1.2528019098977148,90.49184604466906,resolved_refined,0.705511088245444,0.7430487483227305,
