label,accepted,side_long_uJ_cm2,side_radial_uJ_cm2
gap_low,True,15.522965077137155,19.563373143861696
gap_high,True,16.65936113326118,20.961187647949757
c_low,True,13.883360202822985,19.557954825927908
c_high,True,18.15582868917847,21.101990334216442
a_low,True,18.740275635997236,22.091814855350403
a_high,True,13.583210864904423,18.854033671572697
exciton_low,True,15.75717022079826,20.531807024733737
exciton_high,True,16.756493294475987,20.38248195044027
gamma1_low,True,16.069269176414746,20.221992798529993
gamma1_high,True,16.081235107026092,20.236336054597714
dephasing_low,True,16.124156301079214,20.706509932089592
dephasing_high,True,16.074193110494075,19.953361444834073
